NAME,asnPop,totPop,asnPct
"Fremont city, California",143352,234829,0.6104527123992352
"Renton city, Washington",24251,101871,0.2380559727498503
"Kent city, Washington",28220,130038,0.21701348836493947
"Hayward city, California",44318,158817,0.27905073134488123
"Naperville city, Illinois",30215,147734,0.20452299402981033
"Irvine city, California",119003,272694,0.4363975738373415
"El Monte city, California",34976,113917,0.30703055733560397
"Elk Grove city, California",50141,173370,0.28921382015342906
"San Mateo city, California",25229,103619,0.24347851262799294
"Plano city, Texas",62887,288870,0.2177000034617648
"Irving city, Texas",49277,240475,0.20491527185778147
"Sugar Land city, Texas",45340,118563,0.38241272572387675
"San Jose city, California",382815,1029409,0.3718784273306334
"Santa Clara city, California",57105,126723,0.45062853625624394
"Frisco city, Texas",42198,188387,0.22399634794332943
"Stockton city, California",65344,311103,0.21003976175093136
"Bellevue city, Washington",54875,146145,0.3754832529337302
"Urban Honolulu CDP, Hawaii",184313,347181,0.5308844666038752
"Sunnyvale city, California",73614,152569,0.4824964442317902
"West Covina city, California",31624,105808,0.2988809919854831
"Fullerton city, California",33685,141061,0.23879739970650996
"Torrance city, California",54722,144430,0.3788825036349789
"Vallejo city, California",29675,121275,0.24469181612038754
"Garden Grove city, California",72674,172800,0.4205671296296296
"Daly City city, California",63304,107197,0.5905389143352893
"San Francisco city, California",300339,874784,0.34332932472473204
"Jersey City city, New Jersey",68445,262652,0.2605919619877252
"Lowell city, Massachusetts",23586,111311,0.21189280484408549
"Enterprise CDP, Nevada",45952,214591,0.21413759197729634
"Berkeley city, California",25672,123065,0.20860520862958598
