code2013,AsnPct,IndiPct,BangPct,BhutPct,BurmPct,CambPct,ChinPct,FiliPct,HmonPct,IndoPct,JapaPct,KorePct,LaotPct,MalaPct,MongPct,NepaPct,OkinPct,PakiPct,SrilPct,TaiwPct,ThaiPct,VietPct,TwomPct,WasiPct
Large Central Metro,9.68,1.93,0.12,0.01,0.08,0.12,2.54,1.49,0.13,0.04,0.34,0.74,0.08,0.01,0.01,0.07,0,0.22,0.03,0.12,0.09,1.12,0.28,1.01
Large Fringe Metro,6.09,1.9,0.06,0.01,0.03,0.09,1.19,0.77,0.05,0.03,0.16,0.58,0.05,0.01,0.01,0.06,0,0.24,0.02,0.06,0.06,0.5,0.15,0.8
Medium Metro,3.77,0.68,0.02,0.01,0.06,0.07,0.6,0.78,0.13,0.01,0.32,0.25,0.07,0,0,0.04,0,0.09,0.01,0.03,0.05,0.34,0.14,0.72
Small Metro,2.25,0.42,0.02,0.01,0.04,0.03,0.44,0.39,0.13,0.01,0.12,0.2,0.04,0,0,0.04,0,0.05,0.01,0.02,0.04,0.18,0.05,0.54
Micropolitan,1.26,0.15,0.01,0,0.03,0.01,0.21,0.31,0.04,0.01,0.14,0.09,0.03,0,0,0.02,0,0.02,0,0.01,0.03,0.09,0.04,0.39
Non-Core,0.6,0.07,0,0,0.01,0.01,0.1,0.16,0.02,0,0.03,0.06,0.02,0,0,0,0,0.01,0,0.01,0.02,0.05,0.01,0.21
NA,0.19,0.1,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
,23.84,5.25,0.23,0.04,0.25,0.33,5.14,3.91,0.5,0.1,1.11,1.92,0.29,0.02,0.02,0.23,0,0.63,0.07,0.25,0.29,2.28,0.67,3.7
,0.406040268,0.367619048,0.52173913,0.25,0.32,0.363636364,0.494163424,0.381074169,0.26,0.4,0.306306306,0.385416667,0.275862069,0.5,0.5,0.304347826,0,0.349206349,0.428571429,0.48,0.310344828,0.49122807,0.417910448,0.272972973
,0.25545302,0.361904762,0.260869565,0.25,0.12,0.272727273,0.23151751,0.196930946,0.1,0.3,0.144144144,0.302083333,0.172413793,0.5,0.5,0.260869565,0,0.380952381,0.285714286,0.24,0.206896552,0.219298246,0.223880597,0.216216216
,0.158137584,0.12952381,0.086956522,0.25,0.24,0.212121212,0.116731518,0.199488491,0.26,0.1,0.288288288,0.130208333,0.24137931,0,0,0.173913043,0,0.142857143,0.142857143,0.12,0.172413793,0.149122807,0.208955224,0.194594595
,0.094379195,0.08,0.086956522,0.25,0.16,0.090909091,0.085603113,0.099744246,0.26,0.1,0.108108108,0.104166667,0.137931034,0,0,0.173913043,0,0.079365079,0.142857143,0.08,0.137931034,0.078947368,0.074626866,0.145945946
,0.052852349,0.028571429,0.043478261,0,0.12,0.03030303,0.040856031,0.079283887,0.08,0.1,0.126126126,0.046875,0.103448276,0,0,0.086956522,0,0.031746032,0,0.04,0.103448276,0.039473684,0.059701493,0.105405405
,0.025167785,0.013333333,0,0,0.04,0.03030303,0.019455253,0.040920716,0.04,0,0.027027027,0.03125,0.068965517,0,0,0,0,0.015873016,0,0.04,0.068965517,0.021929825,0.014925373,0.056756757
,0.007969799,0.019047619,0,0,0,0,0.011673152,0.002557545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008108108
% Living in Large Central Metro,40.6,36.76,52.17,25,32,36.36,49.42,38.11,26,40,30.63,38.54,27.59,50,50,30.43,0,34.92,42.86,48,31.03,49.12,41.79,27.3
% Living in Large Fringe Metro,25.55,36.19,26.09,25,12,27.27,23.15,19.69,10,30,14.41,30.21,17.24,50,50,26.09,0,38.1,28.57,24,20.69,21.93,22.39,21.62
% Living in Medium Metro,15.81,12.95,8.7,25,24,21.21,11.67,19.95,26,10,28.83,13.02,24.14,0,0,17.39,0,14.29,14.29,12,17.24,14.91,20.9,19.46
% Living in Small Metro,9.44,8,8.7,25,16,9.09,8.56,9.97,26,10,10.81,10.42,13.79,0,0,17.39,0,7.94,14.29,8,13.79,7.89,7.46,14.59
% Living in Micropolitan,5.29,2.86,4.35,0,12,3.03,4.09,7.93,8,10,12.61,4.69,10.34,0,0,8.7,0,3.17,0,4,10.34,3.95,5.97,10.54
% Living in Non-Core,2.52,1.33,0,0,4,3.03,1.95,4.09,4,0,2.7,3.13,6.9,0,0,0,0,1.59,0,4,6.9,2.19,1.49,5.68
% NA,0.8,1.9,0,0,0,0,1.17,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
